Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),SPACE1-1:Space People Occupant Count [](TimeStep),SPACE2-1:Space People Occupant Count [](TimeStep),SPACE3-1:Space People Occupant Count [](TimeStep),SPACE4-1:Space People Occupant Count [](TimeStep),SPACE5-1:Space People Occupant Count [](TimeStep),PLENUM-1:Zone Air Temperature [C](TimeStep),SPACE1-1:Zone Air Temperature [C](TimeStep),SPACE2-1:Zone Air Temperature [C](TimeStep),SPACE3-1:Zone Air Temperature [C](TimeStep),SPACE4-1:Zone Air Temperature [C](TimeStep),SPACE5-1:Zone Air Temperature [C](TimeStep),SPACE1-1 PEOPLE 1:Zone Thermal Comfort Fanger Model PPD [%](TimeStep),SPACE2-1 PEOPLE 1:Zone Thermal Comfort Fanger Model PPD [%](TimeStep),SPACE3-1 PEOPLE 1:Zone Thermal Comfort Fanger Model PPD [%](TimeStep),SPACE4-1 PEOPLE 1:Zone Thermal Comfort Fanger Model PPD [%](TimeStep),SPACE5-1 PEOPLE 1:Zone Thermal Comfort Fanger Model PPD [%](TimeStep) 
 08/30  19:15:00,28.424999999999997,3.3,1.5,3.3,1.5,6.0,29.15053312706396,24.998728755942377,24.998686665700742,24.998710514003324,24.998713866164714,24.998538705994378,6.568259087356637,6.559428421978737,6.594623234698034,6.485544838153345,6.834418626613328 
 08/30  19:30:00,28.15,3.3,1.5,3.3,1.5,6.0,29.033646275093588,24.998755009548994,24.998721049024354,24.998738524832884,24.9987398982874,24.99854895793102,6.785091730168006,6.779616116371486,6.824958084812195,6.704846803617016,7.004638600751761 
 08/30  19:45:00,27.875000000000004,3.3,1.5,3.3,1.5,6.0,28.942523218084837,24.998819550227285,24.99878716519958,24.99880153423786,24.998809994486454,24.99859336454396,7.001875345839679,6.992884376297511,7.022823867248192,6.932685009402789,7.17153302223501 
 08/30  20:00:00,27.6,3.3,1.5,3.3,1.5,6.0,28.846545980850617,24.998884163254303,24.998851591568986,24.998863378284035,24.998879500014272,24.998643599946668,7.185354836872563,7.17321890618895,7.203904244952994,7.126684766823473,7.327068509581736 
 08/30  20:15:00,27.35,3.3,1.5,3.3,1.5,6.0,28.73346106684696,24.998931050921673,24.998895508818514,24.998906050244226,24.998929113197324,24.998687692545886,7.336680300782817,7.313705666467953,7.344832763285254,7.282964861687532,7.467534917902398 
 08/30  20:30:00,27.1,3.3,1.5,3.3,1.5,6.0,28.610705671887487,24.998968156415447,24.998929860463058,24.99893971397438,24.998967082538204,24.998726472577253,7.473146394797325,7.44011546978642,7.4717504098221355,7.4226054945184785,7.597606170500853 
 08/30  20:45:00,26.85,3.3,1.5,3.3,1.5,6.0,28.486286886637217,24.99899665144035,24.998955834921336,24.998965618784045,24.998995045406005,24.998759339341937,7.597587787870054,7.5547520858207236,7.5874827577722215,7.548425589350813,7.719272929250778 
 08/30  21:00:00,26.6,3.3,1.5,3.3,1.5,6.0,28.3635566208225,24.999018103469155,24.998974970036652,24.9989851231423,24.9990149568838,24.998786717863787,7.710783134652289,7.658348853160405,7.692658871708588,7.661219312845333,7.832370424010605 
 08/30  21:15:00,26.35,0.0,0.0,0.0,0.0,0.0,27.87866034893618,24.525683132173956,24.499820175282718,24.536015532354476,24.489747907550612,24.621683456660048,9.963691016481803,10.013315339477884,9.91641314274591,10.038953141222947,9.727842554262779 
 08/30  21:30:00,26.1,0.0,0.0,0.0,0.0,0.0,27.556137656712863,24.20750979421498,24.165923868677552,24.218094059764308,24.149882152868148,24.348307132774668,11.819563320770854,11.97753686653705,11.766430747719838,12.084381638869644,11.229577176844202 
